Date,Open,Close,Adj Close
1/2/90,168.309998,169.949997,169.949997
1/3/90,169.960007,170.789993,170.789993
1/4/90,170.779999,170.089996,170.089996
1/5/90,170.089996,169.649994,169.649994
1/8/90,169.669998,169.550003,169.550003
1/9/90,169.539993,169.300003,169.300003
1/10/90,169.309998,167.940002,167.940002
1/11/90,167.929993,168.009995,168.009995
1/12/90,168.020004,164.369995,164.369995
1/15/90,164.369995,162.929993,162.929993
1/16/90,162.940002,163.300003,163.300003
1/17/90,163.309998,163.509995,163.509995
1/18/90,163.5,162.759995,162.759995
1/19/90,162.770004,163.570007,163.570007
1/22/90,163.570007,161.130005,161.130005
1/23/90,161.139999,160.410004,160.410004
1/24/90,160.419998,158.160004,158.160004
1/25/90,158.169998,157.990005,157.990005
1/26/90,157.979996,156.610001,156.610001
1/29/90,156.600006,154.940002,154.940002
1/30/90,154.949997,152.619995,152.619995
1/31/90,152.610001,153.270004,153.270004
2/1/90,153.270004,154.360001,154.360001
2/2/90,154.369995,156,156
2/5/90,156,156.889999,156.889999
2/6/90,156.470001,156.899994,156.899994
2/7/90,156.889999,158.25,158.25
2/8/90,158.229996,158.589996,158.589996
2/9/90,158.630005,159.130005,159.130005
2/12/90,159.130005,158.5,158.5
2/13/90,158.5,158.190002,158.190002
2/14/90,158.179993,158.220001,158.220001
2/15/90,158.229996,159.199997,159.199997
2/16/90,159.199997,159.300003,159.300003
2/20/90,159.309998,157.860001,157.860001
2/21/90,157.850006,157.050003,157.050003
2/22/90,157.050003,157.800003,157.800003
2/23/90,157.789993,156.639999,156.639999
2/26/90,156.639999,156.350006,156.350006
2/27/90,156.350006,156.839996,156.839996
2/28/90,156.839996,157.720001,157.720001
3/1/90,157.710007,158.039993,158.039993
3/2/90,158.039993,159.190002,159.190002
3/5/90,159.190002,159.289993,159.289993
3/6/90,159.300003,160.399994,160.399994
3/7/90,160.380005,160.899994,160.899994
3/8/90,160.889999,162.070007,162.070007
3/9/90,162.080002,162.080002,162.080002
3/12/90,162.070007,162.229996,162.229996
3/13/90,162.229996,162.059998,162.059998
3/14/90,162.059998,162.779999,162.779999
3/15/90,162.789993,163.259995,163.259995
3/16/90,163.259995,164.210007,164.210007
3/19/90,164.210007,164.380005,164.380005
3/20/90,164.509995,164.240005,164.240005
3/21/90,164.259995,164.240005,164.240005
3/22/90,164.240005,162.740005,162.740005
3/23/90,162.740005,163.619995,163.619995
3/26/90,163.619995,163.820007,163.820007
3/27/90,163.809998,164.070007,164.070007
3/28/90,164.070007,163.800003,163.800003
3/29/90,163.789993,163.410004,163.410004
3/30/90,163.410004,163.630005,163.630005
4/2/90,163.630005,162.339996,162.339996
4/3/90,162.339996,163.399994,163.399994
4/4/90,163.389999,162.839996,162.839996
4/5/90,162.839996,162.779999,162.779999
4/6/90,162.770004,162.380005,162.380005
4/9/90,162.380005,161.460007,161.460007
4/10/90,161.460007,161.910004,161.910004
4/11/90,161.919998,162.169998,162.169998
4/12/90,162.169998,162.580002,162.580002
4/16/90,162.570007,162.520004,162.520004
4/17/90,162.529999,162.240005,162.240005
4/18/90,162.25,161.399994,161.399994
4/19/90,161.399994,160.820007,160.820007
4/20/90,160.809998,160.059998,160.059998
4/23/90,160.050003,158.479996,158.479996
4/24/90,158.479996,158.360001,158.360001
4/25/90,158.339996,158.619995,158.619995
4/26/90,158.630005,158.729996,158.729996
4/27/90,158.720001,157.820007,157.820007
4/30/90,157.800003,158.089996,158.089996
5/1/90,158.089996,158.490005,158.490005
5/2/90,158.5,159.130005,159.130005
5/3/90,159.119995,159.720001,159.720001
5/4/90,159.710007,160.389999,160.389999
5/7/90,160.399994,160.729996,160.729996
5/8/90,160.729996,160.690002,160.690002
5/9/90,160.899994,161.080002,161.080002
5/10/90,161.059998,161.669998,161.669998
5/11/90,161.679993,163.119995,163.119995
5/14/90,163.130005,163.839996,163.839996
5/15/90,163.850006,163.660004,163.660004
5/16/90,163.660004,163.860001,163.860001
5/17/90,163.869995,164.809998,164.809998
5/18/90,164.910004,165.440002,165.440002
5/21/90,165.429993,166.649994,166.649994
5/22/90,166.649994,167.220001,167.220001
5/23/90,167.220001,167.800003,167.800003
5/24/90,167.809998,167.940002,167.940002
5/25/90,168.050003,167.289993,167.289993
5/29/90,167.300003,168.199997,168.199997
5/30/90,168.199997,168.669998,168.669998
5/31/90,168.679993,168.910004,168.910004
6/1/90,168.910004,169.699997,169.699997
6/4/90,169.710007,170.619995,170.619995
6/5/90,170.630005,170.229996,170.229996
6/6/90,170.229996,169.910004,169.910004
6/7/90,169.899994,169.800003,169.800003
6/8/90,169.800003,168.929993,168.929993
6/11/90,168.929993,169.089996,169.089996
6/12/90,169.089996,170.029999,170.029999
6/13/90,170.029999,170.869995,170.869995
6/14/90,170.869995,170.630005,170.630005
6/15/90,170.630005,170.899994,170.899994
6/18/90,170.899994,168.720001,168.720001
6/19/90,168.729996,168.380005,168.380005
6/20/90,168.369995,168.119995,168.119995
6/21/90,168.210007,168.440002,168.440002
6/22/90,168.440002,168.009995,168.009995
6/25/90,168,167.130005,167.130005
6/26/90,167.130005,166.889999,166.889999
6/27/90,166.880005,167.240005,167.240005
6/28/90,167.240005,168.410004,168.410004
